[25961, 'OFFENSE 2.0', '2701', 'Simple Assault.', '2015-04-10 17:29:00', '400 block Wood St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[25962, 'OFFENSE 2.0', '3701', 'Robbery.', '2015-04-10 17:29:00', '400 block Wood St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[26177, 'OFFENSE 2.0', '2702', 'Aggravated Assault.', '2015-04-11 07:46:00', '100 block Washington Pl', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[26185, 'OFFENSE 2.0', '3304', 'Criminal Mischief.', '2015-04-11 15:00:00', 'Forbes Ave & Cherry Way', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[26186, 'OFFENSE 2.0', '3934', 'Theft from Vehicle', '2015-04-11 15:00:00', 'Forbes Ave & Cherry Way', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[26198, 'OFFENSE 2.0', '3304', 'Criminal Mischief.', '2015-04-11 16:00:00', '400 block Smithfield St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[26199, 'OFFENSE 2.0', '3934', 'Theft from Vehicle', '2015-04-11 16:00:00', '400 block Smithfield St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[26216, 'OFFENSE 2.0', '2701', 'Simple Assault.', '2015-04-11 20:57:00', 'Forbes Ave & Cherry Way', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[26647, 'OFFENSE 2.0', '3929', 'Retail Theft.', '2015-04-13 14:58:00', '400 block Smithfield St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[23532, 'OFFENSE 2.0', '2702', 'Aggravated Assault.', '2015-04-01 02:00:00', 'Zone 2', 'Outside City', 1] : could not match any neighborhood
[26787, 'OFFENSE 2.0', '13(a)(16)', 'Possession of Controlled Substance', '2015-04-14 17:26:00', 'Mon Wharf Blvd', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[26959, 'OFFENSE 2.0', '3921', 'Theft by Unlawful Taking or Disposition.', '2015-04-15 17:35:00', '100 block Washington Pl', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[26960, 'OFFENSE 2.0', '3929', 'Retail Theft.', '2015-04-15 18:03:00', '200 block 5th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[27086, 'OFFENSE 2.0', '3502', 'Burglary.', '2015-04-16 09:00:00', '200 block S 39th St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[27255, 'OFFENSE 2.0', '3304', 'Criminal Mischief.', '2015-04-17 06:30:00', '300 block Roberts St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[27265, 'OFFENSE 2.0', '2709', 'Harassment (Non-Specific)', '2015-04-17 14:05:00', 'Fort Duquesne Blvd & 10th St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[27276, 'OFFENSE 2.0', '13(a)(30)', 'Possession w/ Intent to Del. Controlled Substance', '2015-04-17 15:46:00', '500 block Penn Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[27277, 'OFFENSE 2.0', '13(a)(16)', 'Possession of Controlled Substance', '2015-04-17 15:46:00', '500 block Penn Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[27670, 'OFFENSE 2.0', '2701', 'Simple Assault.', '2015-04-19 20:59:00', '200 block Oakhill St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[27672, 'OFFENSE 2.0', '2702', 'Aggravated Assault.', '2015-04-19 20:59:00', '200 block Oakhill St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[27866, 'OFFENSE 2.0', '2701', 'Simple Assault.', '2015-04-20 20:29:00', '300 block Fort Duquesne Blvd', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[28123, 'OFFENSE 2.0', '3929', 'Retail Theft.', '2015-04-22 18:45:00', '400 block 5th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[28128, 'OFFENSE 2.0', '3921', 'Theft by Unlawful Taking or Disposition.', '2015-04-22 22:00:00', '1000 block 5th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[28230, 'OFFENSE 2.0', '3929', 'Retail Theft.', '2015-04-23 14:20:00', '400 block 5th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
